Epoch1 Loss: 584200.0, New Best Found!!
Epoch2 Loss: 626500.0
Epoch3 Loss: 584200.0, New Best Found!!
Epoch4 Loss: 626500.0000002403
Epoch5 Loss: 584200.0, New Best Found!!
Epoch6 Loss: 231167.66774548776, New Best Found!!
Epoch7 Loss: 584200.0
Epoch8 Loss: 112157.69846947778, New Best Found!!
Epoch9 Loss: 584200.0
Epoch10 Loss: 236424.05081507916
Epoch11 Loss: 578560.3846296605
Epoch12 Loss: 484277.9921481484
Epoch13 Loss: 574713.8428969204
Epoch14 Loss: 106973.76516057059, New Best Found!!
Epoch15 Loss: 20056.302843610363, New Best Found!!
Epoch16 Loss: 12687.725706667517, New Best Found!!
Epoch17 Loss: 9846.139720543446, New Best Found!!
Epoch18 Loss: 8024.342963491423, New Best Found!!
Epoch19 Loss: 6312.766924402028, New Best Found!!
Epoch20 Loss: 5558.626309692922, New Best Found!!
Epoch21 Loss: 5111.133037871126, New Best Found!!
Epoch22 Loss: 4493.002608177897, New Best Found!!
Epoch23 Loss: 3979.150190964361, New Best Found!!
Epoch24 Loss: 3748.376587712503, New Best Found!!
Epoch25 Loss: 3525.8947113775544, New Best Found!!
Epoch26 Loss: 3400.648444250853, New Best Found!!
Epoch27 Loss: 3279.7393695841806, New Best Found!!
Epoch28 Loss: 3071.4463630281684, New Best Found!!
Epoch29 Loss: 3048.123183771436, New Best Found!!
Epoch30 Loss: 2936.779533346144, New Best Found!!
Epoch31 Loss: 2645.454175631097, New Best Found!!
Epoch32 Loss: 2536.94132151932, New Best Found!!
Epoch33 Loss: 2338.6783942532893, New Best Found!!
Epoch34 Loss: 2323.2280360176715, New Best Found!!
Epoch35 Loss: 2218.0465718409955, New Best Found!!
Epoch36 Loss: 2113.585248821154, New Best Found!!
Epoch37 Loss: 2100.6217417210414, New Best Found!!
Epoch38 Loss: 1997.672560650571, New Best Found!!
Epoch39 Loss: 1804.3940734696757, New Best Found!!
Epoch40 Loss: 1793.1749164796952, New Best Found!!
Epoch41 Loss: 1782.6092584611179, New Best Found!!
Epoch42 Loss: 1590.8967346546426, New Best Found!!
Epoch43 Loss: 1581.0875042818204, New Best Found!!
Epoch44 Loss: 1571.7662283548084, New Best Found!!
Epoch45 Loss: 1562.8871956417202, New Best Found!!
Epoch46 Loss: 1554.4123335471331, New Best Found!!
Epoch47 Loss: 1546.3092899866158, New Best Found!!
Epoch48 Loss: 1538.549917096125, New Best Found!!
Epoch49 Loss: 1531.1092109119477, New Best Found!!
Epoch50 Loss: 1523.9646557684052, New Best Found!!
Epoch51 Loss: 1517.095849952819, New Best Found!!
Epoch52 Loss: 1510.4842822510932, New Best Found!!
Epoch53 Loss: 1504.1131688693006, New Best Found!!
Epoch54 Loss: 1497.9673096526533, New Best Found!!
Epoch55 Loss: 1492.0329558943774, New Best Found!!
Epoch56 Loss: 1486.297692991326, New Best Found!!
Epoch57 Loss: 1389.8610886496258, New Best Found!!
Epoch58 Loss: 1384.3705586889103, New Best Found!!
Epoch59 Loss: 1379.0498136017357, New Best Found!!
Epoch60 Loss: 1373.8905697588127, New Best Found!!
Epoch61 Loss: 1368.8852803285342, New Best Found!!
Epoch62 Loss: 1364.026971973727, New Best Found!!
Epoch63 Loss: 1359.3090956507765, New Best Found!!
Epoch64 Loss: 1354.7254053860452, New Best Found!!
Epoch65 Loss: 1350.269870990385, New Best Found!!
Epoch66 Loss: 1255.1418498550877, New Best Found!!
Epoch67 Loss: 1250.8356144662914, New Best Found!!
Epoch68 Loss: 1155.6010260522376, New Best Found!!
Epoch69 Loss: 1151.1897186197714, New Best Found!!
Epoch70 Loss: 1146.9107976363605, New Best Found!!
Epoch71 Loss: 1051.9404098267619, New Best Found!!
Epoch72 Loss: 1047.7414544124422, New Best Found!!
Epoch73 Loss: 1043.657560792719, New Best Found!!
Epoch74 Loss: 1039.6807329589626, New Best Found!!
Epoch75 Loss: 1035.8040285393317, New Best Found!!
Epoch76 Loss: 1032.0214358474361, New Best Found!!
Epoch77 Loss: 937.5107297757262, New Best Found!!
Epoch78 Loss: 933.830775394939, New Best Found!!
Epoch79 Loss: 930.2321889419763, New Best Found!!
Epoch80 Loss: 926.7112982307299, New Best Found!!
Epoch81 Loss: 923.264736548843, New Best Found!!
Epoch82 Loss: 919.8893595078068, New Best Found!!
Epoch83 Loss: 916.5821838876634, New Best Found!!
Epoch84 Loss: 913.3403482549203, New Best Found!!
Epoch85 Loss: 910.1610929489271, New Best Found!!
Epoch86 Loss: 907.041755417522, New Best Found!!
Epoch87 Loss: 813.1593330252967, New Best Found!!
Epoch88 Loss: 810.1176768447865, New Best Found!!
Epoch89 Loss: 807.1289382142843, New Best Found!!
Epoch90 Loss: 804.1909183211671, New Best Found!!
Epoch91 Loss: 801.301577783749, New Best Found!!
Epoch92 Loss: 798.4590421685634, New Best Found!!
Epoch93 Loss: 795.6616041420648, New Best Found!!
Epoch94 Loss: 792.9077221915176, New Best Found!!
Epoch95 Loss: 790.1960160893, New Best Found!!
Epoch96 Loss: 787.5252594069974, New Best Found!!
Epoch97 Loss: 694.0415972070122, New Best Found!!
Epoch98 Loss: 600.5100503451017, New Best Found!!
Epoch99 Loss: 597.68459195576, New Best Found!!
Epoch100 Loss: 594.8986159197093, New Best Found!!
Epoch101 Loss: 592.1514546659292, New Best Found!!
Epoch102 Loss: 589.4425087594597, New Best Found!!
Epoch103 Loss: 495.87323991071594, New Best Found!!
Epoch104 Loss: 493.1212175188729, New Best Found!!
Epoch105 Loss: 490.4066025528011, New Best Found!!
Epoch106 Loss: 487.728911645198, New Best Found!!
Epoch107 Loss: 485.0876683638646, New Best Found!!
Epoch108 Loss: 482.4823965281706, New Best Found!!
Epoch109 Loss: 479.91261550257616, New Best Found!!
Epoch110 Loss: 477.37783729788316, New Best Found!!
Epoch111 Loss: 474.8775652289859, New Best Found!!
Epoch112 Loss: 472.4112938269321, New Best Found!!
Epoch113 Loss: 469.9785096825263, New Best Found!!
Epoch114 Loss: 467.5786929063684, New Best Found!!
Epoch115 Loss: 465.2113189200441, New Best Found!!
Epoch116 Loss: 462.8758603392752, New Best Found!!
Epoch117 Loss: 460.5717887652896, New Best Found!!
Epoch118 Loss: 458.29857635925583, New Best Found!!
Epoch119 Loss: 456.055697130936, New Best Found!!
Epoch120 Loss: 453.84262792208847, New Best Found!!
Epoch121 Loss: 451.6588491049881, New Best Found!!
Epoch122 Loss: 449.5038450443958, New Best Found!!
Epoch123 Loss: 447.37710438745233, New Best Found!!
Epoch124 Loss: 445.2781202511808, New Best Found!!
Epoch125 Loss: 443.2063903728632, New Best Found!!
Epoch126 Loss: 441.1614172781728, New Best Found!!
Epoch127 Loss: 439.1427085071083, New Best Found!!
Epoch128 Loss: 437.1497769223344, New Best Found!!
Epoch129 Loss: 435.1821411099003, New Best Found!!
Epoch130 Loss: 433.2393258704237, New Best Found!!
Epoch131 Loss: 431.32086279034274, New Best Found!!
Epoch132 Loss: 429.42629087781836, New Best Found!!
Epoch133 Loss: 427.5551572461017, New Best Found!!
Epoch134 Loss: 425.7070178274536, New Best Found!!
Epoch135 Loss: 423.8814381029365, New Best Found!!
Epoch136 Loss: 422.077993835661, New Best Found!!
Epoch137 Loss: 420.2962717977447, New Best Found!!
Epoch138 Loss: 418.5358704831306, New Best Found!!
Epoch139 Loss: 416.79640079936513, New Best Found!!
Epoch140 Loss: 415.07748673167924, New Best Found!!
Epoch141 Loss: 413.3787659720317, New Best Found!!
Epoch142 Loss: 411.6998905043249, New Best Found!!
Epoch143 Loss: 410.0405271353906, New Best Found!!
Epoch144 Loss: 317.5481179895104, New Best Found!!
Epoch145 Loss: 315.83952182678036, New Best Found!!
Epoch146 Loss: 314.14910774258936, New Best Found!!
Epoch147 Loss: 312.47660988031635, New Best Found!!
Epoch148 Loss: 310.8217800330768, New Best Found!!
Epoch149 Loss: 309.18438792053263, New Best Found!!
Epoch150 Loss: 307.56422131673713, New Best Found!!
Epoch151 Loss: 305.9610860011968, New Best Found!!
Epoch152 Loss: 304.3748055068247, New Best Found!!
Epoch153 Loss: 302.80522064153956, New Best Found!!
Epoch154 Loss: 301.252188764649, New Best Found!!
Epoch155 Loss: 299.71558280528126, New Best Found!!
Epoch156 Loss: 298.1952900178691, New Best Found!!
Epoch157 Loss: 296.6912104786926, New Best Found!!
Epoch158 Loss: 295.2032553377668, New Best Found!!
Epoch159 Loss: 293.7313448512456, New Best Found!!
Epoch160 Loss: 292.27540623046264, New Best Found!!
Epoch161 Loss: 290.83537135405527, New Best Found!!
Epoch162 Loss: 289.4111743984491, New Best Found!!
Epoch163 Loss: 288.00274944865805, New Best Found!!
Epoch164 Loss: 286.6100281551064, New Best Found!!
Epoch165 Loss: 285.23293750257204, New Best Found!!
Epoch166 Loss: 283.87139775430967, New Best Found!!
Epoch167 Loss: 282.5253206277818, New Best Found!!
Epoch168 Loss: 281.1946077489758, New Best Found!!
Epoch169 Loss: 279.87914942036343, New Best Found!!
Epoch170 Loss: 278.5788237243135, New Best Found!!
Epoch171 Loss: 277.2934959700285, New Best Found!!
Epoch172 Loss: 276.02301847876373, New Best Found!!
Epoch173 Loss: 274.767230690147, New Best Found!!
Epoch174 Loss: 273.525959562341, New Best Found!!
Epoch175 Loss: 272.299020231089, New Best Found!!
Epoch176 Loss: 271.08621688741636, New Best Found!!
Epoch177 Loss: 269.88734383105276, New Best Found!!
Epoch178 Loss: 268.7021866559675, New Best Found!!
Epoch179 Loss: 267.53052352585485, New Best Found!!
Epoch180 Loss: 266.3721265001274, New Best Found!!
Epoch181 Loss: 265.22676287496256, New Best Found!!
Epoch182 Loss: 264.0941965084434, New Best Found!!
Epoch183 Loss: 262.9741891038206, New Best Found!!
Epoch184 Loss: 261.866501429841, New Best Found!!
Epoch185 Loss: 260.7708944618998, New Best Found!!
Epoch186 Loss: 259.68713043223505, New Best Found!!
Epoch187 Loss: 258.61497378137597, New Best Found!!
Epoch188 Loss: 257.55419200660987, New Best Found!!
Epoch189 Loss: 256.5045564062003, New Best Found!!
Epoch190 Loss: 255.46584272060235, New Best Found!!
Epoch191 Loss: 254.43783167390575, New Best Found!!
Epoch192 Loss: 253.42030942030215, New Best Found!!
Epoch193 Loss: 252.41306790149352, New Best Found!!
Epoch194 Loss: 251.41590512180983, New Best Found!!
Epoch195 Loss: 250.42862534823055, New Best Found!!
Epoch196 Loss: 249.45103924277817, New Best Found!!
Epoch197 Loss: 248.48296393476522, New Best Found!!
Epoch198 Loss: 247.5242230402415, New Best Found!!
Epoch199 Loss: 246.5746466356698, New Best Found!!
Epoch200 Loss: 245.63407119253725, New Best Found!!
Epoch201 Loss: 244.7023394791036, New Best Found!!
